# CIS Amazon Web Services Foundations Benchmark 4.0.1, as mapped by Prowler (github.com/prowler-cloud/prowler, prowler/compliance/aws/cis_4.0_aws.json, fetched 2026-09-16, Apache-2.0). The benchmark text itself is CIS's; this is the id, section, title and the Prowler checks that test it.
# id	section	subsection	title	level	prowler checks
1.1	1 Identity and Access Management		Maintain current contact details	Level 1	account_maintain_current_contact_details
1.2	1 Identity and Access Management		Ensure security contact information is registered	Level 1	account_security_contact_information_is_registered
1.3	1 Identity and Access Management		Ensure security questions are registered in the AWS account	Level 1	account_security_questions_are_registered_in_the_aws_account
1.4	1 Identity and Access Management		Ensure no 'root' user account access key exists	Level 1	iam_no_root_access_key
1.5	1 Identity and Access Management		Ensure MFA is enabled for the 'root' user account	Level 1	iam_root_mfa_enabled
1.6	1 Identity and Access Management		Ensure hardware MFA is enabled for the 'root' user account	Level 2	iam_root_hardware_mfa_enabled
1.7	1 Identity and Access Management		Eliminate use of the 'root' user for administrative and daily tasks	Level 1	iam_avoid_root_usage
1.8	1 Identity and Access Management		Ensure IAM password policy requires minimum length of 14 or greater	Level 1	iam_password_policy_minimum_length_14
1.9	1 Identity and Access Management		Ensure IAM password policy prevents password reuse	Level 1	iam_password_policy_reuse_24
1.10	1 Identity and Access Management		Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password	Level 1	iam_user_mfa_enabled_console_access
1.11	1 Identity and Access Management		Do not create access keys during initial setup for IAM users with a console password	Level 1	iam_user_no_setup_initial_access_key
1.12	1 Identity and Access Management		Ensure credentials unused for 45 days or more are disabled	Level 1	iam_user_accesskey_unused,iam_user_console_access_unused
1.13	1 Identity and Access Management		Ensure there is only one active access key for any single IAM user	Level 1	iam_user_two_active_access_key
1.14	1 Identity and Access Management		Ensure access keys are rotated every 90 days or less	Level 1	iam_rotate_access_key_90_days
1.15	1 Identity and Access Management		Ensure IAM users receive permissions only through groups	Level 1	iam_policy_attached_only_to_group_or_roles
1.16	1 Identity and Access Management		Ensure IAM policies that allow full *:* administrative privileges are not attached	Level 1	iam_aws_attached_policy_no_administrative_privileges,iam_customer_attached_policy_no_administrative_privileges
1.17	1 Identity and Access Management		Ensure a support role has been created to manage incidents with AWS Support	Level 1	iam_support_role_created
1.18	1 Identity and Access Management		Ensure IAM instance roles are used for AWS resource access from instances	Level 2	ec2_instance_profile_attached
1.19	1 Identity and Access Management		Ensure that all expired SSL/TLS certificates stored in AWS IAM are removed	Level 1	iam_no_expired_server_certificates_stored
1.20	1 Identity and Access Management		Ensure that IAM Access Analyzer is enabled for all regions	Level 1	accessanalyzer_enabled
1.21	1 Identity and Access Management		Ensure IAM users are managed centrally via identity federation or AWS Organizations for multi-account environments	Level 2	iam_check_saml_providers_sts
1.22	1 Identity and Access Management		Ensure access to AWSCloudShellFullAccess is restricted	Level 1	iam_policy_cloudshell_admin_not_attached
2.1.1	2 Storage	2.1 Simple Storage Service (S3)	Ensure S3 Bucket Policy is set to deny HTTP requests	Level 2	s3_bucket_secure_transport_policy
2.1.2	2 Storage	2.1 Simple Storage Service (S3)	Ensure MFA Delete is enabled on S3 buckets	Level 2	s3_bucket_no_mfa_delete
2.1.3	2 Storage	2.1 Simple Storage Service (S3)	Ensure all data in Amazon S3 has been discovered, classified, and secured when necessary	Level 2	macie_is_enabled
2.1.4	2 Storage	2.1 Simple Storage Service (S3)	Ensure that S3 is configured with 'Block Public Access' enabled	Level 1	s3_bucket_level_public_access_block,s3_account_level_public_access_blocks
2.2.1	2 Storage	2.2 Relational Database Service (RDS)	Ensure that encryption-at-rest is enabled for RDS instances	Level 1	rds_instance_storage_encrypted
2.2.2	2 Storage	2.2 Relational Database Service (RDS)	Ensure the Auto Minor Version Upgrade feature is enabled for RDS instances	Level 1	rds_instance_minor_version_upgrade_enabled
2.2.3	2 Storage	2.2 Relational Database Service (RDS)	Ensure that RDS instances are not publicly accessible	Level 1	rds_instance_no_public_access
2.2.4	2 Storage	2.2 Relational Database Service (RDS)	Ensure Multi-AZ deployments are used for enhanced availability in Amazon RDS	Level 1	rds_cluster_multi_az,rds_instance_multi_az
2.3.1	2 Storage	2.3 Elastic File System (EFS)	Ensure that encryption is enabled for EFS file systems	Level 1	efs_encryption_at_rest_enabled
3.1	3 Logging		Ensure CloudTrail is enabled in all regions	Level 1	cloudtrail_multi_region_enabled
3.2	3 Logging		Ensure CloudTrail log file validation is enabled	Level 2	cloudtrail_log_file_validation_enabled
3.3	3 Logging		Ensure AWS Config is enabled in all regions	Level 2	config_recorder_all_regions_enabled
3.4	3 Logging		Ensure that server access logging is enabled on the CloudTrail S3 bucket	Level 1	cloudtrail_logs_s3_bucket_access_logging_enabled
3.5	3 Logging		Ensure CloudTrail logs are encrypted at rest using KMS CMKs	Level 2	cloudtrail_kms_encryption_enabled
3.6	3 Logging		Ensure rotation for customer-created symmetric CMKs is enabled	Level 2	kms_cmk_rotation_enabled
3.7	3 Logging		Ensure VPC flow logging is enabled in all VPCs	Level 2	vpc_flow_logs_enabled
3.8	3 Logging		Ensure that object-level logging for write events is enabled for S3 buckets	Level 2	cloudtrail_s3_dataevents_write_enabled
3.9	3 Logging		Ensure that object-level logging for read events is enabled for S3 buckets	Level 2	cloudtrail_s3_dataevents_read_enabled
4.1	4 Monitoring		Ensure unauthorized API calls are monitored	Level 2	cloudwatch_log_metric_filter_unauthorized_api_calls
4.2	4 Monitoring		Ensure management console sign-in without MFA is monitored	Level 1	cloudwatch_log_metric_filter_sign_in_without_mfa
4.3	4 Monitoring		Ensure usage of the 'root' account is monitored	Level 1	cloudwatch_log_metric_filter_root_usage
4.4	4 Monitoring		Ensure IAM policy changes are monitored	Level 1	cloudwatch_log_metric_filter_policy_changes
4.5	4 Monitoring		Ensure CloudTrail configuration changes are monitored	Level 1	cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled
4.6	4 Monitoring		Ensure AWS Management Console authentication failures are monitored	Level 2	cloudwatch_log_metric_filter_authentication_failures
4.7	4 Monitoring		Ensure disabling or scheduled deletion of customer created CMKs is monitored	Level 2	cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk
4.8	4 Monitoring		Ensure S3 bucket policy changes are monitored	Level 1	cloudwatch_log_metric_filter_for_s3_bucket_policy_changes
4.9	4 Monitoring		Ensure AWS Config configuration changes are monitored	Level 2	cloudwatch_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled
4.10	4 Monitoring		Ensure security group changes are monitored	Level 2	cloudwatch_log_metric_filter_security_group_changes
4.11	4 Monitoring		Ensure Network Access Control List (NACL) changes are monitored	Level 2	cloudwatch_changes_to_network_acls_alarm_configured
4.12	4 Monitoring		Ensure changes to network gateways are monitored	Level 1	cloudwatch_changes_to_network_gateways_alarm_configured
4.13	4 Monitoring		Ensure route table changes are monitored	Level 1	cloudwatch_changes_to_network_route_tables_alarm_configured
4.14	4 Monitoring		Ensure VPC changes are monitored	Level 1	cloudwatch_changes_to_vpcs_alarm_configured
4.15	4 Monitoring		Ensure AWS Organizations changes are monitored	Level 1	cloudwatch_log_metric_filter_aws_organizations_changes
4.16	4 Monitoring		Ensure AWS Security Hub is enabled	Level 2	securityhub_enabled
5.2	5 Networking		Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports	Level 1	ec2_networkacl_allow_ingress_any_port,ec2_networkacl_allow_ingress_tcp_port_22,ec2_networkacl_allow_ingress_tcp_port_3389
5.3	5 Networking		Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports	Level 1	ec2_securitygroup_allow_ingress_from_internet_to_all_ports,ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22,ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389
5.4	5 Networking		Ensure no security groups allow ingress from ::/0 to remote server administration ports	Level 1	ec2_securitygroup_allow_ingress_from_internet_to_all_ports,ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22,ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389
5.5	5 Networking		Ensure the default security group of every VPC restricts all traffic	Level 2	ec2_securitygroup_default_restrict_traffic
5.6	5 Networking		Ensure routing tables for VPC peering are least access	Level 2	vpc_peering_routing_tables_with_least_privilege
5.7	5 Networking		Ensure that the EC2 Metadata Service only allows IMDSv2	Level 1	ec2_instance_imdsv2_enabled
5.1.1	5 Networking	5.1 Elastic Compute Cloud (EC2)	Ensure EBS volume encryption is enabled in all regions	Level 1	ec2_ebs_volume_encryption
5.1.2	5 Networking	5.1 Elastic Compute Cloud (EC2)	Ensure CIFS access is restricted to trusted networks to prevent unauthorized access	Level 1	ec2_instance_port_cifs_exposed_to_internet
